,Date,Price,Egg_Inventory,Molting_Pct,Pullet,Hatching,Chicken_Inv,CPI,Lay_Rate
0,2012-12-01,2.007,27376000.0,1.5,110297133.0,53238000.0,354903000.0,229.601,2420.0
1,2012-12-01,2.007,27376000.0,1.5,105140000.0,53238000.0,354903000.0,229.601,2420.0
2,2013-01-01,1.933,29659000.0,2.9,107788000.0,54748000.0,354996000.0,230.28,2396.0
3,2013-02-01,1.965,28620000.0,3.6,108229000.0,54589000.0,356478000.0,232.166,2149.0
4,2013-03-01,1.925,27138000.0,2.5,108371000.0,55074000.0,358517000.0,232.773,2395.0
5,2013-04-01,1.918,29339000.0,2.0,110529000.0,56588000.0,357518000.0,232.531,2332.0
6,2013-05-01,1.87,28856000.0,3.4,110369000.0,56764000.0,356632000.0,232.945,2402.0
7,2013-06-01,1.859,30591000.0,2.8,108948000.0,56999000.0,356925000.0,233.504,2315.0
8,2013-07-01,1.833,26118000.0,3.1,110406000.0,55972000.0,357395000.0,233.596,2382.0
9,2013-08-01,1.838,30144000.0,2.8,111910000.0,56246000.0,359623000.0,233.877,2400.0
10,2013-09-01,1.897,33577000.0,2.7,110130000.0,55375000.0,360102000.0,234.149,2341.0
11,2013-10-01,1.925,33832000.0,2.8,110916000.0,55265000.0,361321000.0,233.546,2424.0
12,2013-11-01,1.925,29754000.0,2.1,110299000.0,55021000.0,365310000.0,233.069,2355.0
13,2013-12-01,2.026,30350000.0,1.6,108919000.0,55675000.0,366896000.0,233.049,2432.0
14,2014-01-01,2.008,34687000.0,2.7,109834000.0,56002000.0,365836000.0,233.916,2414.0
15,2014-02-01,1.998,34631000.0,2.8,109683000.0,56758000.0,365569000.0,234.781,2174.0
16,2014-03-01,2.061,29044000.0,2.4,109497000.0,56335000.0,366709000.0,236.293,2421.0
17,2014-04-01,2.119,27430000.0,1.9,109230000.0,56692000.0,367748000.0,237.072,2354.0
18,2014-05-01,1.996,28300000.0,2.8,109452000.0,57043000.0,367594000.0,237.9,2416.0
19,2014-06-01,1.948,30142000.0,3.0,110517000.0,57149000.0,367209000.0,238.343,2339.0
20,2014-07-01,1.95,31453000.0,2.6,110503000.0,56944000.0,368330000.0,238.25,2433.0
21,2014-08-01,1.979,29820000.0,3.3,110074000.0,57072000.0,369565000.0,237.852,2422.0
22,2014-09-01,1.97,31126000.0,2.9,110231000.0,56404000.0,369965000.0,238.031,2329.0
23,2014-10-01,1.951,31960000.0,3.4,108231000.0,56072000.0,370285000.0,237.433,2425.0
24,2014-11-01,2.032,30349000.0,2.0,109797000.0,56280000.0,372611000.0,236.151,2387.0
25,2014-12-01,2.21,30718000.0,1.4,108044000.0,56543000.0,373904000.0,234.812,2468.0
26,2015-01-01,2.113,34670000.0,2.1,109792000.0,57860000.0,371396000.0,233.707,2424.0
27,2015-02-01,2.088,35648000.0,3.3,111499000.0,58071000.0,370657000.0,234.722,2170.0
28,2015-03-01,2.133,31978000.0,1.9,111972000.0,58087000.0,371751000.0,236.119,2439.0
29,2015-04-01,2.065,31260000.0,2.1,111693000.0,59203000.0,368240000.0,236.599,2371.0
30,2015-05-01,1.962,28216000.0,3.1,113660000.0,59169000.0,352132000.0,237.805,2418.0
31,2015-06-01,2.57,26890000.0,2.4,109453000.0,59661000.0,339791000.0,238.638,2334.0
32,2015-07-01,2.57,27408000.0,3.0,107330000.0,59083000.0,340636000.0,238.654,2408.0
33,2015-08-01,2.943,30572000.0,2.7,111615000.0,59015000.0,342182000.0,238.316,2406.0
34,2015-09-01,2.966,32324000.0,3.4,113775000.0,58712000.0,344759000.0,237.945,2317.0
35,2015-10-01,2.808,37486000.0,3.4,116208000.0,58527000.0,348080000.0,237.838,2393.0
36,2015-11-01,2.664,36013000.0,3.4,119349000.0,58861000.0,352905000.0,237.336,2336.0
37,2015-12-01,2.751,40896000.0,1.8,120007000.0,59033000.0,358498000.0,236.525,2410.0
38,2016-01-01,2.328,42158000.0,2.6,122729000.0,59786000.0,362412000.0,236.916,2395.0
39,2016-02-01,2.267,37400000.0,2.9,122826000.0,60082000.0,367570000.0,237.111,2262.0
40,2016-03-01,2.081,31741000.0,1.5,123145000.0,60719000.0,371256000.0,238.132,2431.0
41,2016-04-01,1.793,33670000.0,2.9,121179000.0,60572000.0,371278000.0,239.261,2346.0
42,2016-05-01,1.684,35961000.0,2.8,122241000.0,60665000.0,370923000.0,240.229,2436.0
43,2016-06-01,1.491,37960000.0,2.9,121205000.0,60628000.0,370042000.0,241.018,2359.0
44,2016-07-01,1.546,37209000.0,2.6,121585000.0,59984000.0,369424000.0,240.628,2452.0
45,2016-08-01,1.455,31725000.0,2.6,121142000.0,59725000.0,371088000.0,240.849,2462.0
46,2016-09-01,1.471,33084000.0,2.6,118529000.0,59131000.0,373588000.0,241.428,2375.0
47,2016-10-01,1.39,34344000.0,2.2,117764000.0,58909000.0,375124000.0,241.729,2463.0
48,2016-11-01,1.321,36490000.0,2.2,114936000.0,58601000.0,378149000.0,241.353,2401.0
49,2016-12-01,1.383,35652000.0,1.5,113239000.0,59166000.0,380685000.0,241.432,2494.0
50,2017-01-01,1.599,36913000.0,1.7,115002000.0,58746000.0,380616000.0,242.839,2486.0
51,2017-02-01,1.464,41071000.0,2.2,113489000.0,59073000.0,380099000.0,243.603,2237.0
52,2017-03-01,1.404,41911000.0,2.4,116582000.0,59519000.0,380458000.0,243.801,2483.0
53,2017-04-01,1.409,41176000.0,1.7,114407000.0,60117000.0,380351000.0,244.524,2399.0
54,2017-05-01,1.414,39033000.0,2.7,115082000.0,60301000.0,378671000.0,244.733,2477.0
55,2017-06-01,1.332,41712000.0,2.4,117980000.0,60543000.0,377867000.0,244.955,2408.0
56,2017-07-01,1.333,40193000.0,2.4,117062000.0,60494000.0,378432000.0,244.786,2492.0
57,2017-08-01,1.367,35166000.0,2.5,115807000.0,60465000.0,380158000.0,245.519,2472.0
58,2017-09-01,1.422,33934000.0,3.5,116727000.0,60189000.0,382539000.0,246.819,2363.0
59,2017-10-01,1.54,32928000.0,3.0,115130000.0,60861000.0,385338000.0,246.663,2443.0
60,2017-11-01,1.506,27911000.0,2.0,114556000.0,60251000.0,388880000.0,246.669,2394.0
61,2017-12-01,1.815,30162000.0,1.3,130530985.0,60486000.0,390502000.0,246.524,2473.0
62,2017-12-01,1.815,30162000.0,1.3,117173000.0,60486000.0,390502000.0,246.524,2473.0
63,2018-01-01,1.769,31041000.0,1.9,117487000.0,60587000.0,390164000.0,247.867,2439.0
64,2018-02-01,1.755,32308000.0,2.9,119666000.0,61705000.0,392389000.0,248.991,2199.0
65,2018-03-01,1.831,28175000.0,1.8,120612000.0,61721000.0,395010000.0,249.554,2443.0
66,2018-04-01,2.081,27763000.0,1.8,122712000.0,62853000.0,395052000.0,250.546,2363.0
67,2018-05-01,1.987,30236000.0,3.2,122887000.0,63094000.0,394717000.0,251.588,2451.0
68,2018-06-01,1.628,30705000.0,3.1,127038000.0,63119000.0,394621000.0,251.989,2372.0
69,2018-07-01,1.725,29791000.0,2.2,127032000.0,62373000.0,393825000.0,252.006,2446.0
70,2018-08-01,1.622,31990000.0,2.2,125590000.0,61587000.0,394103000.0,252.146,2461.0
71,2018-09-01,1.651,28935000.0,2.7,126865000.0,61040000.0,395393000.0,252.439,2388.0
72,2018-10-01,1.66,30267000.0,2.3,126884000.0,60914000.0,396571000.0,252.885,2469.0
73,2018-11-01,1.596,29603000.0,1.6,126409000.0,60969000.0,399989000.0,252.038,2402.0
74,2018-12-01,1.595,29376000.0,1.2,124729000.0,60976000.0,403003000.0,251.233,2493.0
75,2019-01-01,1.554,32257000.0,1.5,124533000.0,61655000.0,402920000.0,251.712,2489.0
76,2019-02-01,1.557,34492000.0,2.5,126138000.0,62638000.0,403707000.0,252.776,2232.0
77,2019-03-01,1.544,37561000.0,1.5,123252000.0,62956000.0,405848000.0,254.202,2471.0
78,2019-04-01,1.463,36093000.0,1.3,123811000.0,62817000.0,404867000.0,255.548,2403.0
79,2019-05-01,1.362,35413000.0,2.5,126024000.0,63155000.0,400266000.0,256.092,2495.0
80,2019-06-01,1.203,37369000.0,2.0,129696000.0,63588000.0,395106000.0,256.143,2424.0
81,2019-07-01,1.243,36266000.0,2.0,130041000.0,62916000.0,392091000.0,256.571,2500.0
82,2019-08-01,1.219,36362000.0,2.0,128495000.0,62457000.0,392592000.0,256.558,2502.0
83,2019-09-01,1.383,36299000.0,2.0,127036000.0,61798000.0,394900000.0,256.759,2416.0
84,2019-10-01,1.282,33680000.0,1.9,125865000.0,61975000.0,397580000.0,257.346,2516.0
85,2019-11-01,1.405,35236000.0,1.5,123981000.0,62573000.0,401124000.0,257.208,2455.0
86,2019-12-01,1.535,40771000.0,1.0,121971000.0,62450000.0,403263000.0,256.974,2521.0
87,2020-01-01,1.461,38272000.0,1.7,121182000.0,63450000.0,401249000.0,257.971,2509.0
88,2020-02-01,1.449,38423000.0,2.3,123518000.0,64354000.0,397933000.0,258.678,2341.0
89,2020-03-01,1.525,39586000.0,1.7,125759000.0,64232000.0,396943000.0,258.115,2504.0
90,2020-04-01,2.019,44175000.0,1.3,123876000.0,65095000.0,394025000.0,256.389,2406.0
91,2020-05-01,1.64,37985000.0,3.3,125158000.0,64817000.0,389261000.0,256.394,2437.0
92,2020-06-01,1.554,39293000.0,4.6,124973000.0,63984000.0,385943000.0,257.797,2379.0
93,2020-07-01,1.401,39036000.0,2.5,124865000.0,64363000.0,384427000.0,259.101,2534.0
94,2020-08-01,1.328,39254000.0,1.6,123261000.0,64384000.0,384946000.0,259.918,2539.0
95,2020-09-01,1.353,37878000.0,2.3,122520000.0,63962000.0,386151000.0,260.28,2434.0
96,2020-10-01,1.408,34887000.0,2.3,122440000.0,63781000.0,387422000.0,260.388,2543.0
97,2020-11-01,1.45,32436000.0,1.2,122348000.0,63741000.0,389735000.0,260.229,2481.0
98,2020-12-01,1.481,31696000.0,1.1,121171000.0,64271000.0,391887000.0,260.474,2538.0
99,2021-01-01,1.466,32006000.0,2.3,121568000.0,65447000.0,393527000.0,261.582,2508.0
100,2021-02-01,1.597,29581000.0,1.9,121869000.0,66436000.0,394594000.0,263.014,2253.0
101,2021-03-01,1.625,26739000.0,1.7,122842000.0,66303000.0,393354000.0,264.877,2503.0
102,2021-04-01,1.62,24164000.0,1.4,122071000.0,67301000.0,389924000.0,267.054,2435.0
103,2021-05-01,1.625,26172000.0,2.6,124686000.0,67359000.0,385222000.0,269.195,2506.0
104,2021-06-01,1.642,25342000.0,2.4,128518000.0,67140000.0,383040000.0,271.696,2420.0
105,2021-07-01,1.642,26859000.0,2.1,127368000.0,66093000.0,383616000.0,273.003,2505.0
106,2021-08-01,1.709,26769000.0,2.1,126000000.0,65727000.0,384693000.0,273.567,2507.0
107,2021-09-01,1.835,25183000.0,1.9,125111000.0,65117000.0,386681000.0,274.31,2431.0
108,2021-10-01,1.821,26391000.0,1.9,124588000.0,64980000.0,389730000.0,276.589,2519.0
109,2021-11-01,1.718,23067000.0,1.8,123596000.0,65157000.0,392242000.0,277.948,2462.0
110,2021-12-01,1.788,24726000.0,1.0,123179000.0,65599000.0,392761000.0,278.802,2564.0
111,2022-01-01,1.929,26085000.0,1.1,123833000.0,66442000.0,390906000.0,281.148,2550.0
112,2022-02-01,2.005,27978000.0,1.8,123294000.0,66877000.0,388868000.0,283.716,2296.0
113,2022-03-01,2.046,24328000.0,1.7,123720000.0,67378000.0,380359000.0,287.504,2564.0
114,2022-04-01,2.52,22433000.0,1.2,123086000.0,66794000.0,369689000.0,289.109,2494.0
115,2022-05-01,2.863,21937000.0,1.2,127686000.0,66867000.0,366512000.0,292.296,2559.0
116,2022-06-01,2.707,23686000.0,2.2,127619000.0,67310000.0,365829000.0,296.311,2469.0
117,2022-07-01,2.936,22989000.0,1.7,126410000.0,66466000.0,368203000.0,296.276,2552.0
118,2022-08-01,3.116,25685000.0,1.3,125350000.0,66694000.0,372108000.0,296.171,2550.0
119,2022-09-01,2.902,26645000.0,1.8,126102000.0,66566000.0,373569000.0,296.808,2461.0
120,2022-10-01,3.419,24195000.0,1.7,126378000.0,66148000.0,374374000.0,298.012,2542.0
121,2022-11-01,3.589,23798000.0,1.3,127775000.0,65918000.0,375224000.0,297.711,2466.0
122,2022-12-01,4.25,24243000.0,0.6,128835000.0,65978000.0,374266000.0,296.797,2542.0
